path,orig_path,width,height,mode,format,cluster,typicality,heterogeneity,quality,difficulty,phase
datasets\processed\dreambooth_mixed\colorful_sneaker_004.png,datasets\processed\dreambooth_mixed\colorful_sneaker_004.png,2048,2048,RGB,png,0,0.2255387,0.9529913,1.0,0.42293665,1
datasets\processed\dreambooth_mixed\wolf_plushie_002.png,datasets\processed\dreambooth_mixed\wolf_plushie_002.png,2048,2048,RGB,png,4,0.486335,0.99389863,0.84318525,0.43128660100000005,1
datasets\processed\dreambooth_mixed\colorful_sneaker_001.png,datasets\processed\dreambooth_mixed\colorful_sneaker_001.png,2048,2048,RGB,png,0,0.5299174,0.9529913,0.7877123,0.43776689,1
datasets\processed\dreambooth_mixed\backpack_005.png,datasets\processed\dreambooth_mixed\backpack_005.png,1280,1280,RGB,png,2,0.4545607,0.0,0.32636347,0.500450055,1
datasets\processed\dreambooth_mixed\colorful_sneaker_000.png,datasets\processed\dreambooth_mixed\colorful_sneaker_000.png,2048,2048,RGB,png,0,0.3302811,0.9529913,0.67870426,0.5521618,1
datasets\processed\dreambooth_mixed\colorful_sneaker_002.png,datasets\processed\dreambooth_mixed\colorful_sneaker_002.png,2048,2048,RGB,png,0,0.54184276,0.9529913,0.52686405,0.564613407,1
datasets\processed\dreambooth_mixed\backpack_002.png,datasets\processed\dreambooth_mixed\backpack_002.png,1280,1280,RGB,png,2,0.25597185,0.0,0.26635158,0.590032655,1
datasets\processed\dreambooth_mixed\wolf_plushie_004.png,datasets\processed\dreambooth_mixed\wolf_plushie_004.png,2048,2048,RGB,png,4,0.33550125,0.99389863,0.6142036,0.591027551,1
datasets\processed\dreambooth_mixed\wolf_plushie_000.png,datasets\processed\dreambooth_mixed\wolf_plushie_000.png,2048,2048,RGB,png,4,0.091072604,0.99389863,0.74188715,0.6005143698,1
datasets\processed\dreambooth_mixed\backpack_003.png,datasets\processed\dreambooth_mixed\backpack_003.png,1280,1280,RGB,png,2,0.2689234,0.0,0.23652774,0.60105911,1
datasets\processed\dreambooth_mixed\backpack_000.png,datasets\processed\dreambooth_mixed\backpack_000.png,767,767,RGB,png,2,0.15691695,0.0,0.288486,0.608681915,1
datasets\processed\dreambooth_mixed\colorful_sneaker_003.png,datasets\processed\dreambooth_mixed\colorful_sneaker_003.png,2048,2048,RGB,png,0,0.29647088,0.9529913,0.5553674,0.6239732960000001,1
datasets\processed\dreambooth_mixed\wolf_plushie_001.png,datasets\processed\dreambooth_mixed\wolf_plushie_001.png,2048,2048,RGB,png,4,0.17588943,0.99389863,0.60370475,0.644160522,2
datasets\processed\dreambooth_mixed\backpack_004.png,datasets\processed\dreambooth_mixed\backpack_004.png,1280,1280,RGB,png,2,0.09971276,0.0,0.2248774,0.6576474720000001,2
datasets\processed\dreambooth_mixed\backpack_001.png,datasets\processed\dreambooth_mixed\backpack_001.png,815,815,RGB,png,2,0.11733688,0.0,0.2129924,0.658302736,2
datasets\processed\dreambooth_mixed\cat2_001.png,datasets\processed\dreambooth_mixed\cat2_001.png,1920,1920,RGB,png,5,0.38463494,0.9954838,0.44490218,0.661255188,2
datasets\processed\dreambooth_mixed\dog_002.png,datasets\processed\dreambooth_mixed\dog_002.png,780,780,RGB,png,1,0.99999994,1.0,0.05117313,0.674413453,2
datasets\processed\dreambooth_mixed\cat2_000.png,datasets\processed\dreambooth_mixed\cat2_000.png,1920,1920,RGB,png,5,0.34433,0.9954838,0.40635735,0.692619085,2
datasets\processed\dreambooth_mixed\wolf_plushie_003.png,datasets\processed\dreambooth_mixed\wolf_plushie_003.png,2048,2048,RGB,png,4,0.22251683,0.99389863,0.4766678,0.693690777,2
datasets\processed\dreambooth_mixed\cat2_004.png,datasets\processed\dreambooth_mixed\cat2_004.png,1920,1920,RGB,png,5,0.27282736,0.9954838,0.43494564,0.699775732,2
datasets\processed\dreambooth_mixed\cat2_002.png,datasets\processed\dreambooth_mixed\cat2_002.png,1280,1280,RGB,png,5,0.40050077,0.9954838,0.32771397,0.7150895439999999,2
datasets\processed\dreambooth_mixed\teapot_002.png,datasets\processed\dreambooth_mixed\teapot_002.png,1000,1000,RGB,png,3,0.22328472,0.94959587,0.3425424,0.751662558,2
datasets\processed\dreambooth_mixed\teapot_004.png,datasets\processed\dreambooth_mixed\teapot_004.png,1073,1073,RGB,png,3,0.3167374,0.94959587,0.21013916,0.7898283739999999,3
datasets\processed\dreambooth_mixed\teapot_001.png,datasets\processed\dreambooth_mixed\teapot_001.png,855,855,RGB,png,3,0.48936918,0.94959587,0.094626345,0.7957952475,3
datasets\processed\dreambooth_mixed\dog_000.png,datasets\processed\dreambooth_mixed\dog_000.png,780,780,RGB,png,1,0.576837,1.0,0.039789632,0.807054084,3
datasets\processed\dreambooth_mixed\dog_003.png,datasets\processed\dreambooth_mixed\dog_003.png,780,780,RGB,png,1,0.5229189,1.0,0.052098967,0.8170748465,3
datasets\processed\dreambooth_mixed\dog_004.png,datasets\processed\dreambooth_mixed\dog_004.png,687,687,RGB,png,1,0.5055181,1.0,0.033331137,0.8316790015,3
datasets\processed\dreambooth_mixed\cat2_003.png,datasets\processed\dreambooth_mixed\cat2_003.png,1484,1484,RGB,png,5,0.0,0.9954838,0.33201587,0.8330888249999999,3
datasets\processed\dreambooth_mixed\teapot_000.png,datasets\processed\dreambooth_mixed\teapot_000.png,1282,1282,RGB,png,3,0.16110829,0.94959587,0.21412623,0.834523572,3
datasets\processed\dreambooth_mixed\dog_001.png,datasets\processed\dreambooth_mixed\dog_001.png,781,781,RGB,png,1,0.452813,1.0,0.04032146,0.84399537,3
datasets\processed\dreambooth_mixed\teapot_003.png,datasets\processed\dreambooth_mixed\teapot_003.png,703,703,RGB,png,3,0.14555766,0.94959587,0.0047024246,0.9439006636999999,3
