dataset,experiment,method,split,seed,fid
wikiart_mixed,p2-only_D-High_seed42,p2-only,D-High,42,212.0589
wikiart_mixed,p2-only_D-High_seed52,p2-only,D-High,52,220.4325
wikiart_mixed,p2-only_D-High_seed62,p2-only,D-High,62,212.4458
wikiart_mixed,p2-only_D-High_seed72,p2-only,D-High,72,226.664
wikiart_mixed,p2-only_D-High_seed82,p2-only,D-High,82,216.7946
wikiart_mixed,p3-only-long_D-High_seed42,p3-only-long,D-High,42,219.2614
wikiart_mixed,p3-only-long_D-High_seed52,p3-only-long,D-High,52,219.8455
wikiart_mixed,p3-only-long_D-High_seed62,p3-only-long,D-High,62,219.3938
wikiart_mixed,p3-only-long_D-High_seed72,p3-only-long,D-High,72,225.4248
wikiart_mixed,p3-only-long_D-High_seed82,p3-only-long,D-High,82,223.7504
wikiart_mixed,p2-p3-replay_D-High_seed42,p2-p3-replay,D-High,42,215.8821
wikiart_mixed,p2-p3-replay_D-High_seed52,p2-p3-replay,D-High,52,220.5747
wikiart_mixed,p2-p3-replay_D-High_seed62,p2-p3-replay,D-High,62,216.4853
wikiart_mixed,p2-p3-replay_D-High_seed72,p2-p3-replay,D-High,72,222.813
wikiart_mixed,p2-p3-replay_D-High_seed82,p2-p3-replay,D-High,82,220.6143
wikiart_mixed,p2-only_D-Medium_seed42,p2-only,D-Medium,42,216.5804
wikiart_mixed,p2-only_D-Medium_seed52,p2-only,D-Medium,52,221.7017
wikiart_mixed,p2-only_D-Medium_seed62,p2-only,D-Medium,62,218.4164
wikiart_mixed,p2-only_D-Medium_seed72,p2-only,D-Medium,72,227.304
wikiart_mixed,p2-only_D-Medium_seed82,p2-only,D-Medium,82,216.8478
wikiart_mixed,p3-only-long_D-Medium_seed42,p3-only-long,D-Medium,42,221.9759
wikiart_mixed,p3-only-long_D-Medium_seed52,p3-only-long,D-Medium,52,222.5163
wikiart_mixed,p3-only-long_D-Medium_seed62,p3-only-long,D-Medium,62,220.5645
wikiart_mixed,p3-only-long_D-Medium_seed72,p3-only-long,D-Medium,72,223.0386
wikiart_mixed,p3-only-long_D-Medium_seed82,p3-only-long,D-Medium,82,226.0691
wikiart_mixed,p2-p3-replay_D-Medium_seed42,p2-p3-replay,D-Medium,42,222.6645
wikiart_mixed,p2-p3-replay_D-Medium_seed52,p2-p3-replay,D-Medium,52,222.6655
wikiart_mixed,p2-p3-replay_D-Medium_seed62,p2-p3-replay,D-Medium,62,214.1978
wikiart_mixed,p2-p3-replay_D-Medium_seed72,p2-p3-replay,D-Medium,72,221.9199
wikiart_mixed,p2-p3-replay_D-Medium_seed82,p2-p3-replay,D-Medium,82,218.8862
wikiart_mixed,scale-aware-v1_D-Medium_seed42,scale-aware-v1,D-Medium,42,219.9236
wikiart_mixed,scale-aware-v1_D-Medium_seed52,scale-aware-v1,D-Medium,52,221.6914
wikiart_mixed,scale-aware-v1_D-Medium_seed62,scale-aware-v1,D-Medium,62,219.5629
wikiart_mixed,scale-aware-v1_D-Medium_seed72,scale-aware-v1,D-Medium,72,225.1814
wikiart_mixed,scale-aware-v1_D-Medium_seed82,scale-aware-v1,D-Medium,82,224.4357
wikiart_mixed,p2-only_D-Low_seed42,p2-only,D-Low,42,241.7984
wikiart_mixed,p2-only_D-Low_seed52,p2-only,D-Low,52,248.5638
wikiart_mixed,p2-only_D-Low_seed62,p2-only,D-Low,62,239.0557
wikiart_mixed,p2-only_D-Low_seed72,p2-only,D-Low,72,250.8102
wikiart_mixed,p2-only_D-Low_seed82,p2-only,D-Low,82,240.1507
wikiart_mixed,p3-only-long_D-Low_seed42,p3-only-long,D-Low,42,242.5767
wikiart_mixed,p3-only-long_D-Low_seed52,p3-only-long,D-Low,52,246.6874
wikiart_mixed,p3-only-long_D-Low_seed62,p3-only-long,D-Low,62,248.6358
wikiart_mixed,p3-only-long_D-Low_seed72,p3-only-long,D-Low,72,246.1885
wikiart_mixed,p3-only-long_D-Low_seed82,p3-only-long,D-Low,82,243.6536
wikiart_mixed,p2-p3-replay_D-Low_seed42,p2-p3-replay,D-Low,42,245.5575
wikiart_mixed,p2-p3-replay_D-Low_seed52,p2-p3-replay,D-Low,52,242.9691
wikiart_mixed,p2-p3-replay_D-Low_seed62,p2-p3-replay,D-Low,62,247.6921
wikiart_mixed,p2-p3-replay_D-Low_seed72,p2-p3-replay,D-Low,72,248.1818
wikiart_mixed,p2-p3-replay_D-Low_seed82,p2-p3-replay,D-Low,82,229.5887
wikiart_mixed,p2-only_D-Sub-50_seed42,p2-only,D-Sub-50,42,272.9716
wikiart_mixed,p2-only_D-Sub-50_seed52,p2-only,D-Sub-50,52,283.3665
wikiart_mixed,p2-only_D-Sub-50_seed62,p2-only,D-Sub-50,62,276.7763
wikiart_mixed,p2-only_D-Sub-50_seed72,p2-only,D-Sub-50,72,277.9365
wikiart_mixed,p2-only_D-Sub-50_seed82,p2-only,D-Sub-50,82,280.3944
wikiart_mixed,p3-only-long_D-Sub-50_seed42,p3-only-long,D-Sub-50,42,271.4785
wikiart_mixed,p3-only-long_D-Sub-50_seed52,p3-only-long,D-Sub-50,52,273.3846
wikiart_mixed,p3-only-long_D-Sub-50_seed62,p3-only-long,D-Sub-50,62,274.3054
wikiart_mixed,p3-only-long_D-Sub-50_seed72,p3-only-long,D-Sub-50,72,275.8957
wikiart_mixed,p3-only-long_D-Sub-50_seed82,p3-only-long,D-Sub-50,82,273.3721
wikiart_mixed,p2-p3-replay_D-Sub-50_seed42,p2-p3-replay,D-Sub-50,42,273.0072
wikiart_mixed,p2-p3-replay_D-Sub-50_seed52,p2-p3-replay,D-Sub-50,52,280.5797
wikiart_mixed,p2-p3-replay_D-Sub-50_seed62,p2-p3-replay,D-Sub-50,62,276.6515
wikiart_mixed,p2-p3-replay_D-Sub-50_seed72,p2-p3-replay,D-Sub-50,72,282.2062
wikiart_mixed,p2-p3-replay_D-Sub-50_seed82,p2-p3-replay,D-Sub-50,82,269.2975
wikiart_mixed,scale-aware-v1_D-Sub-50_seed42,scale-aware-v1,D-Sub-50,42,273.5665
wikiart_mixed,scale-aware-v1_D-Sub-50_seed52,scale-aware-v1,D-Sub-50,52,282.1156
wikiart_mixed,scale-aware-v1_D-Sub-50_seed62,scale-aware-v1,D-Sub-50,62,273.9713
wikiart_mixed,scale-aware-v1_D-Sub-50_seed72,scale-aware-v1,D-Sub-50,72,279.2372
wikiart_mixed,scale-aware-v1_D-Sub-50_seed82,scale-aware-v1,D-Sub-50,82,281.3536
wikiart_mixed,p2-only_D-Sub-25_seed42,p2-only,D-Sub-25,42,290.3784
wikiart_mixed,p2-only_D-Sub-25_seed52,p2-only,D-Sub-25,52,295.0926
wikiart_mixed,p2-only_D-Sub-25_seed62,p2-only,D-Sub-25,62,293.5865
wikiart_mixed,p2-only_D-Sub-25_seed72,p2-only,D-Sub-25,72,291.9242
wikiart_mixed,p2-only_D-Sub-25_seed82,p2-only,D-Sub-25,82,296.8811
wikiart_mixed,p3-only-long_D-Sub-25_seed42,p3-only-long,D-Sub-25,42,295.1316
wikiart_mixed,p3-only-long_D-Sub-25_seed52,p3-only-long,D-Sub-25,52,298.1958
wikiart_mixed,p3-only-long_D-Sub-25_seed62,p3-only-long,D-Sub-25,62,295.6777
wikiart_mixed,p3-only-long_D-Sub-25_seed72,p3-only-long,D-Sub-25,72,304.6642
wikiart_mixed,p3-only-long_D-Sub-25_seed82,p3-only-long,D-Sub-25,82,292.3999
wikiart_mixed,p2-p3-replay_D-Sub-25_seed42,p2-p3-replay,D-Sub-25,42,296.0101
wikiart_mixed,p2-p3-replay_D-Sub-25_seed52,p2-p3-replay,D-Sub-25,52,299.313
wikiart_mixed,p2-p3-replay_D-Sub-25_seed62,p2-p3-replay,D-Sub-25,62,292.8594
wikiart_mixed,p2-p3-replay_D-Sub-25_seed72,p2-p3-replay,D-Sub-25,72,293.8059
wikiart_mixed,p2-p3-replay_D-Sub-25_seed82,p2-p3-replay,D-Sub-25,82,293.2627
wikiart_mixed,scale-aware-v1_D-Sub-25_seed42,scale-aware-v1,D-Sub-25,42,291.7627
wikiart_mixed,scale-aware-v1_D-Sub-25_seed52,scale-aware-v1,D-Sub-25,52,298.7441
wikiart_mixed,scale-aware-v1_D-Sub-25_seed62,scale-aware-v1,D-Sub-25,62,291.9959
wikiart_mixed,scale-aware-v1_D-Sub-25_seed72,scale-aware-v1,D-Sub-25,72,295.2729
wikiart_mixed,scale-aware-v1_D-Sub-25_seed82,scale-aware-v1,D-Sub-25,82,293.6409
dreambooth_mixed,p2-only_D-High_seed42,p2-only,D-High,42,222.6143
dreambooth_mixed,p2-only_D-High_seed52,p2-only,D-High,52,230.417
dreambooth_mixed,p2-only_D-High_seed62,p2-only,D-High,62,227.4476
dreambooth_mixed,p2-only_D-High_seed72,p2-only,D-High,72,226.7801
dreambooth_mixed,p2-only_D-High_seed82,p2-only,D-High,82,229.3232
dreambooth_mixed,p3-only-long_D-High_seed42,p3-only-long,D-High,42,228.0567
dreambooth_mixed,p3-only-long_D-High_seed52,p3-only-long,D-High,52,234.7163
dreambooth_mixed,p3-only-long_D-High_seed62,p3-only-long,D-High,62,243.7406
dreambooth_mixed,p3-only-long_D-High_seed72,p3-only-long,D-High,72,242.6035
dreambooth_mixed,p3-only-long_D-High_seed82,p3-only-long,D-High,82,239.9939
dreambooth_mixed,p2-p3-replay_D-High_seed42,p2-p3-replay,D-High,42,226.7396
dreambooth_mixed,p2-p3-replay_D-High_seed52,p2-p3-replay,D-High,52,229.3702
dreambooth_mixed,p2-p3-replay_D-High_seed62,p2-p3-replay,D-High,62,232.9356
dreambooth_mixed,p2-p3-replay_D-High_seed72,p2-p3-replay,D-High,72,227.7952
dreambooth_mixed,p2-p3-replay_D-High_seed82,p2-p3-replay,D-High,82,231.0844
dreambooth_mixed,p2-only_D-Medium_seed42,p2-only,D-Medium,42,229.7798
dreambooth_mixed,p2-only_D-Medium_seed52,p2-only,D-Medium,52,236.8611
dreambooth_mixed,p2-only_D-Medium_seed62,p2-only,D-Medium,62,222.2385
dreambooth_mixed,p2-only_D-Medium_seed72,p2-only,D-Medium,72,223.2334
dreambooth_mixed,p2-only_D-Medium_seed82,p2-only,D-Medium,82,228.6317
dreambooth_mixed,p3-only-long_D-Medium_seed42,p3-only-long,D-Medium,42,234.6281
dreambooth_mixed,p3-only-long_D-Medium_seed52,p3-only-long,D-Medium,52,241.7473
dreambooth_mixed,p3-only-long_D-Medium_seed62,p3-only-long,D-Medium,62,249.8655
dreambooth_mixed,p3-only-long_D-Medium_seed72,p3-only-long,D-Medium,72,249.9466
dreambooth_mixed,p3-only-long_D-Medium_seed82,p3-only-long,D-Medium,82,241.4197
dreambooth_mixed,p2-p3-replay_D-Medium_seed42,p2-p3-replay,D-Medium,42,221.019
dreambooth_mixed,p2-p3-replay_D-Medium_seed52,p2-p3-replay,D-Medium,52,230.0094
dreambooth_mixed,p2-p3-replay_D-Medium_seed62,p2-p3-replay,D-Medium,62,224.2506
dreambooth_mixed,p2-p3-replay_D-Medium_seed72,p2-p3-replay,D-Medium,72,226.1968
dreambooth_mixed,p2-p3-replay_D-Medium_seed82,p2-p3-replay,D-Medium,82,224.6144
dreambooth_mixed,scale-aware-v1_D-Medium_seed42,scale-aware-v1,D-Medium,42,233.8347
dreambooth_mixed,scale-aware-v1_D-Medium_seed52,scale-aware-v1,D-Medium,52,241.1697
dreambooth_mixed,scale-aware-v1_D-Medium_seed62,scale-aware-v1,D-Medium,62,245.755
dreambooth_mixed,scale-aware-v1_D-Medium_seed72,scale-aware-v1,D-Medium,72,249.7042
dreambooth_mixed,scale-aware-v1_D-Medium_seed82,scale-aware-v1,D-Medium,82,245.3793
dreambooth_mixed,p2-only_D-Low_seed42,p2-only,D-Low,42,287.6731
dreambooth_mixed,p2-only_D-Low_seed52,p2-only,D-Low,52,285.6455
dreambooth_mixed,p2-only_D-Low_seed62,p2-only,D-Low,62,301.0634
dreambooth_mixed,p2-only_D-Low_seed72,p2-only,D-Low,72,276.6373
dreambooth_mixed,p2-only_D-Low_seed82,p2-only,D-Low,82,287.5597
dreambooth_mixed,p3-only-long_D-Low_seed42,p3-only-long,D-Low,42,278.7966
dreambooth_mixed,p3-only-long_D-Low_seed52,p3-only-long,D-Low,52,277.8446
dreambooth_mixed,p3-only-long_D-Low_seed62,p3-only-long,D-Low,62,284.6353
dreambooth_mixed,p3-only-long_D-Low_seed72,p3-only-long,D-Low,72,279.7752
dreambooth_mixed,p3-only-long_D-Low_seed82,p3-only-long,D-Low,82,281.6304
dreambooth_mixed,p2-p3-replay_D-Low_seed42,p2-p3-replay,D-Low,42,293.6929
dreambooth_mixed,p2-p3-replay_D-Low_seed52,p2-p3-replay,D-Low,52,288.331
dreambooth_mixed,p2-p3-replay_D-Low_seed62,p2-p3-replay,D-Low,62,291.1144
dreambooth_mixed,p2-p3-replay_D-Low_seed72,p2-p3-replay,D-Low,72,272.5486
dreambooth_mixed,p2-p3-replay_D-Low_seed82,p2-p3-replay,D-Low,82,290.0247
dreambooth_mixed,p2-only_D-Sub-50_seed42,p2-only,D-Sub-50,42,231.1786
dreambooth_mixed,p2-only_D-Sub-50_seed52,p2-only,D-Sub-50,52,235.4495
dreambooth_mixed,p2-only_D-Sub-50_seed62,p2-only,D-Sub-50,62,219.5392
dreambooth_mixed,p2-only_D-Sub-50_seed72,p2-only,D-Sub-50,72,234.6881
dreambooth_mixed,p2-only_D-Sub-50_seed82,p2-only,D-Sub-50,82,229.4944
dreambooth_mixed,p3-only-long_D-Sub-50_seed42,p3-only-long,D-Sub-50,42,232.7185
dreambooth_mixed,p3-only-long_D-Sub-50_seed52,p3-only-long,D-Sub-50,52,240.357
dreambooth_mixed,p3-only-long_D-Sub-50_seed62,p3-only-long,D-Sub-50,62,244.5945
dreambooth_mixed,p3-only-long_D-Sub-50_seed72,p3-only-long,D-Sub-50,72,245.9577
dreambooth_mixed,p3-only-long_D-Sub-50_seed82,p3-only-long,D-Sub-50,82,244.9404
dreambooth_mixed,p2-p3-replay_D-Sub-50_seed42,p2-p3-replay,D-Sub-50,42,229.0156
dreambooth_mixed,p2-p3-replay_D-Sub-50_seed52,p2-p3-replay,D-Sub-50,52,234.6551
dreambooth_mixed,p2-p3-replay_D-Sub-50_seed62,p2-p3-replay,D-Sub-50,62,224.3444
dreambooth_mixed,p2-p3-replay_D-Sub-50_seed72,p2-p3-replay,D-Sub-50,72,231.9427
dreambooth_mixed,p2-p3-replay_D-Sub-50_seed82,p2-p3-replay,D-Sub-50,82,238.387
dreambooth_mixed,scale-aware-v1_D-Sub-50_seed42,scale-aware-v1,D-Sub-50,42,230.027
dreambooth_mixed,scale-aware-v1_D-Sub-50_seed52,scale-aware-v1,D-Sub-50,52,236.1429
dreambooth_mixed,scale-aware-v1_D-Sub-50_seed62,scale-aware-v1,D-Sub-50,62,217.223
dreambooth_mixed,scale-aware-v1_D-Sub-50_seed72,scale-aware-v1,D-Sub-50,72,236.2286
dreambooth_mixed,scale-aware-v1_D-Sub-50_seed82,scale-aware-v1,D-Sub-50,82,229.3223
dreambooth_mixed,p2-only_D-Sub-25_seed42,p2-only,D-Sub-25,42,234.236
dreambooth_mixed,p2-only_D-Sub-25_seed52,p2-only,D-Sub-25,52,244.0824
dreambooth_mixed,p2-only_D-Sub-25_seed62,p2-only,D-Sub-25,62,236.6366
dreambooth_mixed,p2-only_D-Sub-25_seed72,p2-only,D-Sub-25,72,238.6769
dreambooth_mixed,p2-only_D-Sub-25_seed82,p2-only,D-Sub-25,82,233.1585
dreambooth_mixed,p3-only-long_D-Sub-25_seed42,p3-only-long,D-Sub-25,42,248.9082
dreambooth_mixed,p3-only-long_D-Sub-25_seed52,p3-only-long,D-Sub-25,52,253.6409
dreambooth_mixed,p3-only-long_D-Sub-25_seed62,p3-only-long,D-Sub-25,62,250.761
dreambooth_mixed,p3-only-long_D-Sub-25_seed72,p3-only-long,D-Sub-25,72,267.716
dreambooth_mixed,p3-only-long_D-Sub-25_seed82,p3-only-long,D-Sub-25,82,261.9722
dreambooth_mixed,p2-p3-replay_D-Sub-25_seed42,p2-p3-replay,D-Sub-25,42,234.6564
dreambooth_mixed,p2-p3-replay_D-Sub-25_seed52,p2-p3-replay,D-Sub-25,52,241.228
dreambooth_mixed,p2-p3-replay_D-Sub-25_seed62,p2-p3-replay,D-Sub-25,62,248.781
dreambooth_mixed,p2-p3-replay_D-Sub-25_seed72,p2-p3-replay,D-Sub-25,72,234.3562
dreambooth_mixed,p2-p3-replay_D-Sub-25_seed82,p2-p3-replay,D-Sub-25,82,238.9277
dreambooth_mixed,scale-aware-v1_D-Sub-25_seed42,scale-aware-v1,D-Sub-25,42,234.9597
dreambooth_mixed,scale-aware-v1_D-Sub-25_seed52,scale-aware-v1,D-Sub-25,52,241.8583
dreambooth_mixed,scale-aware-v1_D-Sub-25_seed62,scale-aware-v1,D-Sub-25,62,248.0677
dreambooth_mixed,scale-aware-v1_D-Sub-25_seed72,scale-aware-v1,D-Sub-25,72,232.6165
dreambooth_mixed,scale-aware-v1_D-Sub-25_seed82,scale-aware-v1,D-Sub-25,82,238.102
